Type;Member;CC;CK;ND;SLOC;MI;HV;File
ContactsViewModel;Task ContactsViewModel._LoadAsync();7;18;5;47;40;1731;ContactsViewModel.cs
ContactsViewModel;Task ContactsViewModel.CallAsync(ContactItem? item);6;15;5;23;50;617;ContactsViewModel.cs
PhotoViewModel;void PhotoViewModel.Load();10;10;4;43;42;1103;PhotoViewModel.cs
PhotoViewModel;Task PhotoViewModel._TakePhotoAsync();5;10;4;27;47;972;PhotoViewModel.cs
PositionView;void PositionView._OnLoaded(object? sender, EventArgs e);4;6;3;11;58;492;PositionView.xaml.cs
SwipeHostPage;SwipeHostPage.SwipeHostPage(SwipeHostViewModel vm);4;6;3;15;57;262;SwipeHostPage.xaml.cs
SwipeHostPage;void SwipeHostPage._Navigate();5;5;2;7;63;342;SwipeHostPage.xaml.cs
AppShell;AppShell.AppShell();3;3;2;15;55;436;AppShell.xaml.cs
PostsStore;Task<bool> PostsStore.LoadFromJsonAsync(CancellationToken ct);3;3;2;11;59;343;PostsStore.cs
PositionViewModel;Task PositionViewModel.RefreshAsync();3;3;2;17;54;430;PositionViewModel.cs
VideoView;void VideoView._StopAndRelease();3;3;2;9;65;84;VideoView.xaml.cs
SwipeHostPage;int SwipeHostPage._Count(object itemsSource);3;3;2;5;69;150;SwipeHostPage.xaml.cs
PostsStore;Task PostsStore.LoadAsync(string? query, CancellationToken ct);3;2;1;5;67;284;PostsStore.cs
PositionViewModel;string PositionViewModel._FormatLocation(double lat, double lon);3;2;0;5;69;176;PositionViewModel.cs
PositionView;void PositionView._OnUnloaded(object? sender, EventArgs e);3;2;1;3;77;55;PositionView.xaml.cs
ScreenTemplateSelector;DataTemplate ScreenTemplateSelector.OnSelectTemplate(object item, BindableObject container);2;1;1;15;58;172;ScreenTemplateSelector.cs
ContactsViewModel;Task ContactsViewModel.RefreshAsync();2;1;1;9;64;144;ContactsViewModel.cs
PhotoViewModel;void PhotoViewModel._EnsurePhotoDir();2;1;1;4;73;89;PhotoViewModel.cs
PostsViewModel;Task PostsViewModel.OnAppearingAsync();2;1;1;3;78;45;PostsViewModel.cs
PostsViewModel;Task PostsViewModel._LoadAsync();2;1;0;10;62;195;PostsViewModel.cs
PostsViewModel;void PostsViewModel._CancelPending();2;1;1;5;71;72;PostsViewModel.cs
VideoViewModel;Task VideoViewModel.OnAppearingAsync();2;1;1;3;78;47;VideoViewModel.cs
ContactsView;void ContactsView.OnLoaded(object? sender, EventArgs e);2;1;1;6;67;158;ContactsView.xaml.cs
VideoView;void VideoView._OnHandlerChanged(object? sender, EventArgs e);2;1;1;8;66;90;VideoView.xaml.cs
VideoView;void VideoView._Unhook();2;1;1;7;68;72;VideoView.xaml.cs
SwipeHostPage;void SwipeHostPage.OnBindingContextChanged();2;1;1;5;70;106;SwipeHostPage.xaml.cs
SwipeHostPage;void SwipeHostPage.OnDisappearing();2;1;1;4;73;88;SwipeHostPage.xaml.cs
App;App.App();1;0;0;3;83;8;App.xaml.cs
App;Window App.CreateWindow(IActivationState? activationState);1;0;0;3;79;28;App.xaml.cs
ContactItem;ContactItem.ContactItem(string displayName, string phoneNumber);1;0;0;4;78;21;ContactItem.cs
MauiProgram;MauiApp MauiProgram.CreateMauiApp();1;0;0;23;50;704;MauiProgram.cs
MainApplication;MainApplication.MainApplication(nint handle, JniHandleOwnership ownership);1;0;0;2;91;2;MainApplication.cs
MainApplication;MauiApp MainApplication.CreateMauiApp();1;0;0;1;92;12;MainApplication.cs
